<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOLUSDT,1,241112,101900,216.50000000,217.27000000,216.44000000,217.18000000,5203.94500000
SOLUSDT,1,241112,101800,216.57000000,216.88000000,216.18000000,216.51000000,5481.56600000
SOLUSDT,1,241112,101700,216.83000000,216.84000000,216.20000000,216.57000000,10637.46300000
SOLUSDT,1,241112,101600,216.84000000,217.11000000,216.60000000,216.84000000,9385.53900000
SOLUSDT,1,241112,101500,216.21000000,216.89000000,215.90000000,216.84000000,6680.18800000
SOLUSDT,1,241112,101400,215.94000000,216.21000000,215.42000000,216.21000000,8536.60900000
SOLUSDT,1,241112,101300,216.84000000,217.02000000,215.91000000,215.94000000,7105.37100000
SOLUSDT,1,241112,101200,216.75000000,216.98000000,216.31000000,216.83000000,11223.64900000
SOLUSDT,1,241112,101100,216.14000000,216.97000000,215.89000000,216.75000000,13503.82100000
SOLUSDT,1,241112,101000,216.26000000,216.41000000,215.24000000,216.14000000,11600.46900000
SOLUSDT,1,241112,100900,215.05000000,216.28000000,214.92000000,216.26000000,16672.68200000
SOLUSDT,1,241112,100800,212.78000000,215.20000000,212.78000000,214.99000000,30325.79600000
SOLUSDT,1,241112,100700,212.89000000,213.89000000,212.41000000,212.77000000,36726.90800000
SOLUSDT,1,241112,100600,214.65000000,214.73000000,212.38000000,212.90000000,71372.95700000
SOLUSDT,1,241112,100500,215.00000000,215.64000000,214.64000000,214.65000000,19838.69300000
SOLUSDT,1,241112,100400,215.57000000,215.60000000,214.78000000,214.99000000,24054.19100000
SOLUSDT,1,241112,100300,216.53000000,216.75000000,215.25000000,215.58000000,16677.66100000
SOLUSDT,1,241112,100200,217.02000000,217.06000000,216.31000000,216.53000000,7957.37900000
SOLUSDT,1,241112,100100,216.95000000,217.45000000,216.95000000,217.01000000,6804.27900000
SOLUSDT,1,241112,100000,215.70000000,217.00000000,215.64000000,216.95000000,8900.67800000
SOLUSDT,1,241112,095900,216.79000000,216.80000000,215.68000000,215.70000000,15364.29200000
SOLUSDT,1,241112,095800,216.83000000,217.00000000,216.50000000,216.78000000,7805.70900000
SOLUSDT,1,241112,095700,216.73000000,217.22000000,216.72000000,216.82000000,4895.02400000
SOLUSDT,1,241112,095600,217.44000000,217.51000000,216.64000000,216.74000000,7129.03900000
SOLUSDT,1,241112,095500,217.13000000,217.77000000,217.04000000,217.44000000,6241.90200000
SOLUSDT,1,241112,095400,217.48000000,217.57000000,217.13000000,217.13000000,4798.29500000
SOLUSDT,1,241112,095300,217.87000000,217.92000000,217.36000000,217.48000000,6296.53600000
SOLUSDT,1,241112,095200,217.74000000,218.19000000,217.54000000,217.88000000,10159.20800000
